DIN.PIN,Brand.Name,Manufacturer.Code,Dosage.Form,Strength,Effective.Date,End.Date,Active.Ingredients,Active.Ingredient.Class.and.Use,Active.Ingredient.Dose,Other.Notes,conversion_factor,
2014300,MS Contin,PFP,sr tab,60mg,2012-04-16,,morphine sulfate,opioid,,,1,
2014319,MS Contin,PFP,sr tab,100mg,2012-04-16,,morphine sulfate,opioid,,,1,
2014327,MS Contin,PFP,sr tab,200mg,2012-04-16,,morphine sulfate,opioid,,,1,
2015439,MS Contin,PFP,sr tab,15mg,2012-04-16,,morphine sulfate,opioid,,,1,
2019930,M-Eslon,ETH,er cap,10mg,2012-04-16,,morphine sulfate,opioid,,,1,
2019949,M-Eslon,ETH,er cap,30mg,2012-04-16,,morphine sulfate,opioid,,,1,
2019957,M-Eslon,ETH,er cap,60mg,2012-04-16,,morphine sulfate,opioid,,,1,
2019965,M-Eslon,ETH,er cap,100mg,2012-04-16,,morphine sulfate,opioid,,,1,
2025337,ACETAMINOPHEN COMP TAB WITH CODEINE(WAM),RPR,tab,8mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
2028174,ACETAMINOPHEN WITH CODEINE CAPLET (WAM),RPR,tab,8mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
2041413,Ativan,PFI,tab,0.5mg,2012-04-16,,lorazepam,bzd,,,5,
2041421,Ativan,PFI,tab,1mg,2012-04-16,,lorazepam,bzd,,,5,
2041448,Ativan,PFI,tab,2mg,2012-04-16,,lorazepam,bzd,,,5,
2041456,Ativan,PFI,sl tab,0.5mg,2012-04-16,,lorazepam,bzd,,,5,
2041464,Ativan,PFI,sl tab,1mg,2012-04-16,,lorazepam,bzd,,,5,
2041472,Ativan,PFI,sl tab,2mg,2012-04-16,,lorazepam,bzd,,,5,
2048701,PMS-Clonazepam,PMS,tab,0.5mg,2012-04-16,,clonazepam,bzd,,,10,
2048728,PMS-Clonazepam Tab 1.0mg,PMS,tab,1mg,2012-04-16,,clonazepam,bzd,,,10,
2048736,PMS-Clonazepam,PMS,tab,2mg,2012-04-16,,clonazepam,bzd,,,10,
2047667,MERSYNDOL WITH CODEINE,MER,tab,325mg & 8mg & 5mg,2012-04-16,,codeine phosphate,opioid,8mg,,0.15,
2048701,PMS-Clonazepam,PMS,tab,0.5mg,2012-04-16,,clonazepam,bzd,,,10,
2048728,PMS-Clonazepam Tab 1.0mg,PMS,tab,1mg,2012-04-16,,clonazepam,bzd,,,10,
2048736,PMS-Clonazepam,PMS,tab,2mg,2012-04-16,,clonazepam,bzd,,,10,
2053403,Ratio-Cotridin Expectorant,RPH,o/l,100mg,2012-04-16,,codeine phosphate + triprolidine hydrochloride + pseudoephedrine hydrochloride + guaifenesin,opioid- cough supresent tightly controlled,2mg/ml,,0.15,
2099748,Cough Syrup With Codeine,ROG,o/l,100mg,2012-04-16,,codeine phosphate,opioid- cough supresent tightly controlled,3.3mg/5ml,,0.15,
2103656,Ratio-Clonazepam,RPH,tab,0.5mg,2012-04-16,,clonazepam,bzd,,,10,
2103737,Ratio-Clonazepam,RPH,tab,2mg,2012-04-16,,clonazepam,bzd,,,10,
2125323,Hydromorph Contin,PFP,cr cap,3mg,2012-04-16,,hydromorphone hydrochloride,opioid,,,5,
2125331,Hydromorph Contin,PFP,cr cap,6mg,2012-04-16,,hydromorphone hydrochloride,opioid,,,5,
2125366,Hydromorph Contin,PFP,cr cap,12mg,2012-04-16,,hydromorphone hydrochloride,opioid,,,5,
2125382,Hydromorph Contin,PFP,cr cap,24mg,2012-04-16,,hydromorphone hydrochloride,opioid,,,5,
2125390,Hydromorph Contin,PFP,cr cap,30mg,2012-04-16,,hydromorphone hydrochloride,opioid,,,5,
2126486,Phl-Methylphenidate,PHE,tab,20mg,2012-04-16,,methylphenidate,stimulant,,,1,
2126494,Phl-Methylphenidate,PHE,tab,10mg,2012-04-16,,methylphenidate,stimulant,,,1,
2130998,Dom-Clonazepam - Tab 0.5mg,DPC,tab,0.5mg,2012-04-16,,clonazepam,bzd,,,10,
2131013,Dom-Clonazepam - Tab 2mg,DPC,tab,2mg,2012-04-16,,clonazepam,bzd,,,10,
2137534,Mylan-Alprazolam,MYL,tab,0.25mg,2012-04-16,,alprazolam,bzd,,,10,
2137542,Mylan-Alprazolam,MYL,tab,0.5mg,2012-04-16,,alprazolam,bzd,,,10,
2137984,Talwin,SAO,tab,50mg,2012-04-16,,pentazocine lactate,opioid,,,0.25,
2138018,Demerol,SAV,tab,50mg,2012-04-16,,meperidine hydrochloride,opioid,,,0.1,
2143933,Acetaminophen with Codeine - Caplet,ROG,tab,8mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
2145227,Phl-Clonazepam,PHE,tab,0.5mg,2012-04-16,,clonazepam,bzd,,,10,
2145235,Phl-Clonazepam - Tab 1mg,PHE,tab,1mg,2012-04-16,,clonazepam,bzd,,,10,
2145243,Phl-Clonazepam,PHE,tab,2mg,2012-04-16,,clonazepam,bzd,,,10,
2154234,"Acetaminophen, Caffeine & Codeine Caplet",VIP,tab,8mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
2163748,Codeine Contin,PFP,cr tab,100mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
2163780,Codeine Contin,PFP,cr tab,150mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
2163799,Codeine Contin,PFP,cr tab,200mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
2163918,Tylenol with Codeine No. 4,JAN,tab,300mg & 60mg,2012-04-16,,codeine phosphate,opioid,60mg,,0.15,
2163926,Tylenol with Codeine No. 3,JAN,tab,300mg & 15mg & 30mg,2012-04-16,,codeine phosphate,opioid,30mg,,0.15,
2163934,Tylenol with Codeine No. 2,JAN,tab,300mg & 15mg & 15mg,2012-04-16,,codeine phosphate,opioid,15mg,,0.15,
2163942,Tylenol With Codeine Elixir,JAN,o/l,160mg & 8mg/5mL,2012-04-16,,codeine phosphate,opioid,8mg/ml,,0.15,
2169126,Ratio-Cotridin,RPH,o/l,10mg,2012-04-16,,codeine phosphate + triprolidine hydrochloride + pseudoephedrine hydrochloride,opioid/decongestant/ antihistamine,2mg/ml,,0.15,
2172917,Calmylin Pse With Codeine,ROG,o/l,100mg,2012-04-16,,codeine phosphate,opioid/decongestant/ expectorant. tightly controlled cough medica,3.3mg/ml,,0.15,
2173344,Nu-Clonazepam,NXP,tab,0.5mg,2012-04-16,,clonazepam,bzd,,,10,
2173352,Nu-Clonazepam,NXP,tab,2mg,2012-04-16,,clonazepam,bzd,,,10,
2177153,Apo-Bromazepam,APX,tab,1.5mg,2012-04-16,,bromazepam,bzd,,,1.7,
2177161,Apo-Bromazepam,APX,tab,3mg,2012-04-16,,bromazepam,bzd,,,1.7,
2177188,Apo-Bromazepam,APX,tab,6mg,2012-04-16,,bromazepam,bzd,,,1.7,
2177749,M-Eslon,ETH,er cap,15mg,2012-04-16,,morphine sulfate,opioid,,,1,
2177757,M-Eslon,ETH,er cap,200mg,2012-04-16,,morphine sulfate,opioid,,,1,
2177889,Apo-Clonazepam,APX,tab,0.5mg,2012-04-16,,clonazepam,bzd,,,10,
2177897,Apo-Clonazepam,APX,tab,2mg,2012-04-16,,clonazepam,bzd,,,10,
2179660,PMS-Clonazepam- Tab 0.25mg,PMS,tab,0.25mg,2012-04-16,,clonazepam,bzd,,,10,
2181061,Tylenol No.1 Caplets,MCL,tab,8mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid- over the counter,,,0.15,
2181088,Tylenol No.1 Forte Caplets,MCL,tab,8mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid- over the counter,,,0.15,
2184435,Kadian,ABB,sr cap,20mg,2012-04-16,,morphine sulfate,opioid- long term pain relief,,,1,
2184443,Kadian,ABB,sr cap,50mg,2012-04-16,,morphine sulfate,opioid- long term pain relief,,,1,
2184451,Kadian,ABB,sr cap,100mg,2012-04-16,,morphine sulfate,opioid- long term pain relief,,,1,
2192101,Hydromorphone,SOR,tab,1mg,2012-04-16,,hydromorphone hydrochloride,opioid- long term pain relief,,,5,
2192144,Hydromorphone,SOR,tab,8mg,2012-04-16,,hydromorphone hydrochloride,opioid- long term pain relief,,,5,
2192705,Gen-Bromazepam,GEN,tab,1.5mg,2012-04-16,,bromazepam,bzd,,,1.7,
2198630,Calmylin Ace,ROG,o/l,100mg,2012-04-16,,codeine phosphate + triprolidine hydrochloride + pseudoephedrine hydrochloride,opioid- cough supresent tightly controlled,2mg/ml,,0.15,
2202441,Oxycontin,PFP,sr tab,10mg,2012-04-16,,oxycodone hydrochloride,opioid- long term pain relief (high overodse risk),,,1.5,
2202468,Oxycontin,PFP,sr tab,20mg,2012-04-16,,oxycodone hydrochloride,opioid- long term pain relief (high overodse risk),,,1.5,
2202476,Oxycontin,PFP,sr tab,40mg,2012-04-16,,oxycodone hydrochloride,opioid- long term pain relief (high overodse risk),,,1.5,
2202484,Oxycontin,PFP,sr tab,80mg,2012-04-16,,oxycodone hydrochloride,opioid- long term pain relief (high overodse risk),,,1.5,
2207818,PMS-Clonazepam-R,PMS,tab,0.5mg,2012-04-16,,clonazepam,bzd,,,10,
2220520,Bromazepam-3 - Tab 3mg,PRD,tab,3mg,2012-04-16,,bromazepam,bzd,,,1.7,
2220539,Bromazepam-6 - Tab 6mg,PRD,tab,6mg,2012-04-16,,bromazepam,bzd,,,1.7,
2221799,Frisium,OVA,tab,10mg,2012-04-16,,clobazam,bzd,,,0.5,
2223570,Nu-Temazepam,NXP,cap,15mg,2012-04-16,,temazepam,bzd,,,0.5,
2223589,Nu-Temazepam,NXP,cap,30mg,2012-04-16,,temazepam,bzd,,,0.5,
2224100,Dom-Clonazepam-R - Tab 0.5mg,DPC,tab,0.5mg,2012-04-16,,clonazepam,bzd,,,10,
2224577,Cophylac Drops,VAE,oral sol,10mg,2012-04-16,,noremethadone hydrochloride,opioid- cough supresent tightly controlled,10mg/ml,,4.7,
2225964,Apo-Temazepam,APX,cap,15mg,2012-04-16,,temazepam,bzd,,,0.5,
2225972,Apo-Temazepam,APX,cap,30mg,2012-04-16,,temazepam,bzd,,,0.5,
2229654,Nitrazadon,VAL,tab,5mg,2012-04-16,,nitrazepam,bzd,,,1,
2229655,Nitrazadon,VAL,tab,10mg,2012-04-16,,nitrazepam,bzd,,,1,
2229756,Dom-Temazepam,DPC,cap,15mg,2012-04-16,,temazepam,bzd,,,0.5,
2229758,Dom-Temazepam,DPC,cap,30mg,2012-04-16,,temazepam,bzd,,,0.5,
2229760,Temazepam-15,PRD,cap,15mg,2012-04-16,,temazepam,bzd,,,0.5,
2229761,Temazepam-30,PRD,cap,30mg,2012-04-16,,temazepam,bzd,,,0.5,
2229813,Mylan-Alprazolam,MYL,tab,1mg,2012-04-16,,alprazolam,bzd,,,10,
2229814,Mylan-Alprazolam,MYL,tab,2mg,2012-04-16,,alprazolam,bzd,,,10,
2230095,Novo-Temazepam,NOP,cap,15mg,2012-04-16,,temazepam,bzd,,,0.5,
2230102,Novo-Temazepam,NOP,cap,30mg,2012-04-16,,temazepam,bzd,,,0.5,
2230302,Codeine Contin,PFP,cr tab,50mg,2012-04-16,,codeine monohydrate,long-acting opioid,,,0.15,
2230321,Ratio-Methylphenidate,RPH,tab,10mg,2012-11-29,,methylphenidate,stimulant,,,1,
2230322,Ratio-Methylphenidate,RPH,tab,20mg,2012-04-16,,methylphenidate,stimulant,,,1,
2230366,Clonapam,ICN,tab,0.5mg,2012-11-29,,clonazepam,bzd,,,10,
2230368,Clonapam,VAL,tab,1mg,2012-04-16,,clonazepam,bzd,,,10,
2230369,Clonapam,ICN,tab,2mg,2012-11-29,,clonazepam,bzd,,,10,
2230584,Novo-Bromazepam,NOP,tab,3mg,2012-04-16,,bromazepam,bzd,,,1.7,
2230585,Novo-Bromazepam,NOP,tab,6mg,2012-04-16,,bromazepam,bzd,,,1.7,
2230769,Dalmacol,RIA,o/l,3.33mg,2012-04-16,,"hydrocodone bitartrate, etafedrine, doxylamine succinate, sodium citrate, and anhydrous alcohol",bzd,1.65mg/ml,,1,
2230950,Mylan-Clonazepam,MYL,tab,0.5mg,2012-04-16,,clonazepam,bzd,,,10,
2230951,Mylan-Clonazepam,MYL,tab,2mg,2012-04-16,,clonazepam,bzd,,,10,
2231934,Oxy.IR,PFP,tab,5mg,2012-04-16,,oxycodone hydrochloride,opioid-post operative pain perscription,,,1.5,
2232387,Exdol-8 Tablets,PEN,tab,8mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid- long term pain relief (high overodse risk),,,0.15,
2232388,Exdol-15 Tablets,PEN,tab,15mg & 300mg & 30mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid- long term pain relief (high overodse risk),15mg,,0.15,
2232389,Exdol-30 Tablets,PEN,tab,30mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid- long term pain relief (high overodse risk),,,0.15,
2232658,Procet-30,PRD,tab,30mg,2012-04-16,2019-11-01,acetaminophen + codeine phosphate,"opioid- antitussive, antipyretic and analgesic. moderate to severe pain",,,0.15,
2233960,Sandoz Clonazepam,SDZ,tab,0.5mg,2012-04-16,2018-08-01,clonazepam,bzd,,,10,
2233982,Sandoz Clonazepam,SDZ,tab,1mg,2012-04-16,2018-08-01,clonazepam,bzd,,,10,
2233985,Sandoz Clonazepam,SDZ,tab,2mg,2012-04-16,2018-08-01,clonazepam,bzd,,,10,
2234003,Sandoz Nitrazepam,SDZ,tab,5mg,2012-04-16,2018-08-01,nitrazepam,bzd,,,1,
2234007,Sandoz Nitrazepam,SDZ,tab,10mg,2012-04-16,2018-08-01,nitrazepam,bzd,,,1,
2234510,282,PEN,tab,15mg,2012-11-29,2021-05-11,codeine phosphate+acetylslicylic acid,opioid[- analgesic and sedative. perscribed when pain accompanied by muscle spasm/anxiety,,,0.15,
2234749,PMS-Methylphenidate,PMS,tab,5mg,2012-04-16,,methylphenidate,stimulant,,,1,
2236872,Methoxacet-C 1/8,ROG,tab,8mg,2012-04-16,2018-11-12,acetaminophen+codeine phosphate+methocarbamol,opioid-cancelled post-market ,,,0.15,
2236948,Phl-Clonazepam-R,PHE,tab,0.5mg,2012-04-16,2004-12-02,clonazepam,bzd,,,10,
2237420,"Acetaminophen, Caffeine & 8mg Codeine",PEN,tab,8mg,2012-04-16,2016-12-31,clonazepam,bzd,,,10,
2237578,Spasmhalt-8,PEN,tab,8mg,2012-04-16,,acetaminophen+codeine phosphate+methocarbamol,opioid-pain muscle spasms,,,0.15,
2237580,Spasmhalt-ASA-8,PEN,tab,8mg,2012-04-16,,acetaminophen+codeine phosphate+methocarbamol,opioid-pain muscle spasms,,,0.15,
2238162,Diastat,VAL,rect gel-2x 5mg pk,5mg/mL,2012-04-16,,diazepam,bzd,,,1,
2238334,Novo-Clobazam,NOP,tab,10mg,2012-04-16,,clobazam,bzd,,,0.5,
2238645,292,PEN,tab,30mg,2012-04-16,,"asa, caffeine, codeine phosphate",opioid- pain releif,,,0.15,
2238646,282 MEP,PEN,tab,15mg,2012-04-16,,"asa, caffeine, codeine phosphate",opioid[- analgesic and sedative. perscribed when pain accompanied by muscle spasm/anxiety,,,0.15,
2238670,C-2 Buffered with Codeine,PEN,tab,8mg,2012-04-16,,"asa, caffeine, codeine phosphate","opioid[- mild to severe pain, fever, and inflammation",,,0.15,
2239024,Novo-Clonazepam,NOP,tab,0.5mg,2012-04-16,,clonazepam,bzd,,,10,
2239025,Novo-Clonazepam,NOP,tab,2mg,2012-04-16,,clonazepam,bzd,,,10,
2240131,Oxy.IR,PFP,tab,10mg,2012-04-16,,oxycodone hydrochloride,"opioid- mild to severe pain, fever, and inflammation",,,1.5,
2240132,Oxy.IR,PFP,tab,20mg,2012-04-16,,oxycodone hydrochloride,"opioid- mild to severe pain, fever, and inflammation",,,1.5,
2241377,Metadol,PMS,o/l,10mg/mL,2012-04-16,,methadone,opioid- perscribed for chronic severe pain but also for oud,,,4.7,
2242077,Riva-Clonazepam,RIA,tab,0.5mg,2012-04-16,,clonazepam,bzd,,,10,
2242078,Riva-Clonazepam 2 mg,RIA,tab,2mg,2012-04-16,,clonazepam,bzd,,,10,
2242163,Kadian,ABB,sr cap,10mg,2012-04-16,,morphine sulfate,opioid - long term pain relief (extended release),,,1,
2242180,Muscle & Back Pain Relief - 8,VIP,tab,8mg,2012-04-16,,acetaminophen+codeine phosphate+methocarbamol,opioid-cancelled post-market ,,,0.15,
2242406,Trianal C1/4,LAT,cap,15mg,2012-04-16,,butalbital + acetylsalicylic acid + caffeine + codeine phosphate,opioid/barbituate,,,0.15,
2242468,Rivacocet,RIA,tab,5mg,2012-04-16,,acetaminophen + oxycodone hydrochloride,opioid- short-term post-operative pain relief,,,1.5,
2243023,Ratio-Temazepam,RPH,cap,15mg,2012-04-16,,temazepam,bzd,,,0.5,
2243024,Ratio-Temazepam,RPH,cap,30mg,2012-04-16,,temazepam,bzd,,,0.5,
2243047,Muscle & Back Pain Relief-8,PEN,tab,8mg,2012-04-16,,acetaminophen+codeine phosphate+methocarbamol,opioid-back pain and muscle spasms,,,0.15,
2243063,Covan Syrup,PMS,o/l,10mg,2012-04-16,,codeine phosphate + triprolidine hydrochloride + pseudoephedrine hydrochloride,opioid- cough supresent/ expectorant tightly controlled,2mg/ml,,0.15,
2243562,Hydromorph Contin,PFP,cr cap,18mg,2012-04-16,,hydromorphone hydrochloride,opioid- long term severe pain. mostly perscribed for palliative care,,,5,
2243611,Apo-Alpraz,APX,tab,1mg,2012-04-16,,alprazolam,bzd- short term anxiety relief,,,10,
2243612,Apo-Alpraz TS,APX,tab,2mg,2012-04-16,,alprazolam,bzd- short term anxiety relief. ts stands for tablet scored (can safely be split),,,10,
2243978,PMS-Codeine,PMS,tab,15mg,2012-04-16,,codeine phosphate,opioid- short-term mild to moderate pain and cough supression,,,0.15,
2243979,PMS-Codeine,PMS,tab,30mg,2012-04-16,,codeine phosphate,opioid- short-term mild to moderate pain and cough supression,,,0.15,
2244010,Balminil Codeine Nighttime + expectorant,ROG,o/l,3.33mg,2012-04-16,,"ammonium chloride, codeine phosphate, diphenhydramine",opioid- cough supresent/ expectorant tightly controlled,3.33mg/5ml,,0.15,
2244011,Balminil Codeine+Decongest+Expectorant,ROG,o/l,100mg,2012-04-16,,"ammonium chloride, codeine phosphate, diphenhydramine",opioid- cough supresent/ expectorant tightly controlled,3.33mg/ml,,0.15,
2244078,Dimetapp-C Syrup,WYE,o/l,10mg,2012-04-16,,codeine phosphate + triprolidine hydrochloride + pseudoephedrine hydrochloride,"opioid- antitussive, antihistamne and decongestant.",2mg/ml,,0.15,
2244079,Dimetane Expectorant C,PFI,o/l,100mg,2012-04-16,,brompheniramine maleate+codeine phosphate+guaifenesin+phenylphrine hrodchloride,"opioid- antitussive, antihistamne and decongestant.",2mg/ml,,0.15,
2244080,Dimetane Expectorant DC,PFI,o/l,100mg,2012-04-16,,brompheniramine maleate+hydrocodone bitartrate+guaifenesin+phenylphrine hrodchloride,"opioid- antitussive, antihistamne and decongestant.",1.8mg/5ml,,1,
2244290,Metadol-D,PMS,o/l,10mg,2012-04-16,,methadone hydrochloride,opioid- chronic severe pain and opioid use disorder,10mg/ml,,4.7,
2244474,PMS-Clobazam,PMS,tab,10mg,2012-04-16,,clobazam,bzd,,,0.5,
2244638,Apo-Clobazam,APX,tab,10mg,2012-04-16,,clobazam,bzd,,,0.5,
2244790,Sandoz Morphine SR,SDZ,sr tab,15mg,2012-04-16,,morphine sulfate,opioid - long term pain relief (extended release),,,1,
2244791,Sandoz Morphine SR,SDZ,sr tab,30mg,2012-04-16,,morphine sulfate,opioid - long term pain relief (extended release),,,1,
2244792,Sandoz Morphine SR,SDZ,sr tab,60mg,2012-04-16,,morphine sulfate,opioid - long term pain relief (extended release),,,1,
2244814,Co Temazepam,COB,cap,15mg,2012-04-16,,temazepam,bzd,,,0.5,
2244815,Co Temazepam,COB,cap,30mg,2012-04-16,,temazepam,bzd,,,0.5,
2245230,Apo-Nitrazepam,APX,tab,5mg,2012-04-16,,nitrazepam,bzd,,,1,
2245231,Apo-Nitrazepam,APX,tab,10mg,2012-04-16,,nitrazepam,bzd,,,1,
2245284,PMS-Morphine Sulfate,PMS,sr tab,15mg,2012-04-16,,morphine sulfate,opioid - long term pain relief (immediate release),,,1,
2245285,PMS-Morphine Sulfate,PMS,sr tab,30mg,2012-04-16,,morphine sulfate,opioid - long term pain relief (immediate release),,,1,
2245286,PMS-Morphine Sulfate,PMS,sr tab,60mg,2012-04-16,,morphine sulfate,opioid - long term pain relief (immediate release),,,1,
2245287,PMS-Morphine Sulfate SR,PMS,sr tab,100mg,2012-04-16,,morphine sulfate,opioid - long term pain relief (sustained release),,,1,
2245288,PMS-Morphine Sulfate SR,PMS,sr tab,200mg,2012-04-16,,morphine sulfate,opioid - long term pain relief (sustained release),,,1,
2245592,Damylin With Codeine Syrup,RIA,o/l,3.3mg,2012-04-16,,codeine phosphate,opioid- cough supresent tightly controlled,3.3mg/5ml,,0.15,
2245703,Hydromorph.IR-2mg,PFP,tab,2mg,2012-04-16,,hydromorphone hydrochloride,opioid- post-operative pain relief and short-term migraine relief. mostly short-term severe pain relief to supplement other opioids,,,5,
2245704,Hydromorph.IR - 4mg,PFP,tab,4mg,2012-04-16,,hydromorphone hydrochloride,opioid- post-operative pain relief and short-term migraine relief. mostly short-term severe pain relief to supplement other opioids,,,5,
2245705,Hydromorph.IR - 8mg,PFP,tab,8mg,2012-04-16,,hydromorphone hydrochloride,opioid- post-operative pain relief and short-term migraine relief. mostly short-term severe pain relief to supplement other opioids,,,5,
2245709,Benylin 2 Cold And Flu With Codeine,MCL,o/l,100mg,2012-04-16,,codeine phosphate+guaifenesin+pseudoephedrine hydrochloride,opioid- cough supresent/ expectorant tightly controlled,3.3mg/ml,,0.15,
2245758,PMS-Oxycodone-Acetaminophen,PMS,tab,5mg & 325mg,2012-11-29,,acetaminophen + codeine phosphate,opioid- mild to moderate acute pain ,5mg,,0.15,
2245784,Dom-Lorazepam,DPC,tab,0.5mg,2012-04-16,,lorazepam,bzd,,,5,
2245785,Dom-Lorazepam,DPC,tab,1mg,2012-04-16,,lorazepam,bzd,,,5,
2245786,Dom-Lorazepam,DPC,tab,2mg,2012-04-16,,lorazepam,bzd,,,5,
2246085,"Acetaminophen, Caffeine & 8mg Codeine",JPC,tab,8mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid- mild to moderate acute pain ,,,0.15,
2246103,"ASA, Caffeine & Codeine Phosphate Tablet",JPC,tab,8mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid- mild to moderate acute pain ,,,0.15,
2246991,Phl-Methylphenidate,PHE,tab,5mg,2012-04-16,,methylphenidate,stimulant,,,1,
2247173,Bio-Diazepam,BII,tab,2mg,2012-04-16,,diazepam,bzd,,,1,
2247174,Bio-Diazepam,BII,tab,5mg,2012-04-16,,diazepam,bzd,,,1,
2247176,Bio-Diazepam,BII,tab,10mg,2012-04-16,,diazepam,bzd,,,1,
2247177,Bio-Oxazepam,BII,tab,10mg,2012-04-16,,oxazepam,bzd,,,0.33,
2247178,Bio-Oxazepam,BII,tab,15mg,2012-04-16,,oxazepam,bzd,,,0.33,
2247179,Bio-Oxazepam,BII,tab,30mg,2012-04-16,,oxazepam,bzd,,,0.33,
2247230,Dom-Clobazam,DPC,tab,10mg,2012-04-16,,clobazam,bzd,,,0.5,
2247364,Ratio-Methylphenidate,RPH,tab,5mg,2012-04-16,,methylphenidate,stimulant,,,1,
2247374,Metadol-D,PAL,oral sol,50mcg/mL,2024-07-31,,methadone hydrochloride,opioid- chronic severe pain and opioid use disorder,1mg/ml,,4.7,dosage conflict
2247490,PMS-Diazepam,BII,tab,2mg,2012-04-16,,diazepam,bzd,,,1,
2247491,PMS-Diazepam,BII,tab,5mg,2012-04-16,,diazepam,bzd,,,1,
2247492,PMS-Diazepam,BII,tab,10mg,2012-04-16,,diazepam,bzd,,,1,
2247694,Metadol,PMS,o/l,1mg/mL,2012-04-16,,methadone hydrochloride,opioid- chronic severe pain and opioid use disorder,,,4.7,
2247698,Metadol,PMS,tab,1mg,2012-04-16,,methadone hydrochloride,opioid- chronic severe pain and opioid use disorder,,,4.7,
2247699,Metadol,PMS,tab,5mg,2012-04-16,,methadone hydrochloride,opioid- chronic severe pain and opioid use disorder,,,4.7,
2247700,Metadol,PMS,tab,10mg,2012-04-16,,methadone hydrochloride,opioid- chronic severe pain and opioid use disorder,,,4.7,
2247701,Metadol,PMS,tab,25mg,2012-04-16,,methadone hydrochloride,opioid- chronic severe pain and opioid use disorder,,,4.7,
2247732,Concerta,JAN,sr tab,18mg,2012-04-16,,methylphenidate hydrochloride,stimulant,,,0.83,
2247733,Concerta,JAN,sr tab,36mg,2012-04-16,,methylphenidate hydrochloride,stimulant,,,0.83,
2247734,Concerta,JAN,sr tab,54mg,2012-04-16,,methylphenidate hydrochloride,stimulant,,,0.83,
2248126,Bio-Flurazepam,BII,cap,15mg,2012-04-16,,flurazepam,bzd,,,0.33,
2248127,Bio-Flurazepam,BII,cap,30mg,2012-04-16,,flurazepam,bzd,,,0.33,
2248817,"Acetaminophen, Caffeine & 8mg of Codeine",PHI,tab,8mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid- mild to moderate acute pain ,,,0.15,
2248977,Muscle and Back Pain Relief-8,ROG,tab,8mg,2012-04-16,,acetaminophen+codeine phosphate+methocarbamol,opioid- short-term pain muscle spasms,,,0.15,
2249324,Apo-Methylphenidate,APX,tab,10mg,2012-04-16,,methylphenidate hydrochloride,stimulant,,,1,
2249332,Apo-Methylphenidate,APX,tab,20mg,2012-04-16,,methylphenidate hydrochloride,stimulant,,,1,
2249391,Ran-Fentanyl,RAN,trans patch,25mcg/hr,2012-04-16,,fentanyl,opioid- long term pain relief (high overodse risk),2.5mg,Not for use in opioid naïve patients,3.88,
2249413,Ran-Fentanyl,RAN,trans patch,50mcg/hr,2012-04-16,,fentanyl,opioid- long term pain relief (high overodse risk),5mg,Not for use in opioid naïve patients,4.04,
2249421,Ran-Fentanyl,RAN,trans patch,75mcg/hr,2012-04-16,,fentanyl,opioid- long term pain relief (high overodse risk),7.5mg,Not for use in opioid naïve patients,3.893,
2249448,Ran-Fentanyl,RAN,trans patch,100mcg/hr,2012-04-16,,fentanyl,opioid- long term pain relief (high overodse risk),10mg,Not for use in opioid naïve patients,3.82,
2249928,Hydromorphone,SOR,tab,2mg,2012-04-16,,hydromorphone hydrochloride,opioid- short-term post-operative pain relief,,,5,
2249936,Hydromorphone,SOR,tab,4mg,2012-04-16,,hydromorphone hydrochloride,opioid- short-term post-operative pain relief,,,5,
2250241,Concerta,JAN,sr tab,27mg,2012-04-16,,methylphenidate hydrochloride,stimulant,,,0.83,
2250551,Muscle and Back Pain Relief - 8 Tablets,PHI,tab,8mg,2012-04-16,,acetaminophen + caffeine + codeine phosphate,opioid- short-term pain muscle spasms,,,0.15,
2251914,"Acetaminophen, Caffeine & 8mg of Codeine",PHI,tab,8mg,2012-04-16,,acetaminophen + caffeine + codeine phosphate,opioid- short-term pain muscle spasms,,,0.15,
2254263,Phl-Acet-Codeine 60,PHE,tab,60mg,2012-04-16,,acetaminophen + codeine phosphate,opioid- short-term moderate to severe pain,,,0.15,
2254271,Phl-Acet-Codeine 30,PHE,tab,30mg,2012-04-16,,acetaminophen + codeine phosphate,opioid- short-term moderate to severe pain,,,0.15,
2258099,Cough Syrup With Codeine,SUP,o/l,100mg,2012-04-16,,codeine phosphate+guaifenesin+pseudoephedrine hydrochloride,opioid- cough supresent/ expectorant tightly controlled,3.3mg/5ml,,0.15,
2258129,Oxycontin 5mg,PFP,er tab,5mg,2012-04-16,,oxycodone hydrochloride,opioid - long term pain relief (controlled release),,,1.5,
