variable,role,label,labelLong,section,subject,variableType,units,databaseStart,variableStart,description,,,,
SDCGCGT,"predictor, table-1-a",Ethnicity,"Cultural or racial origin - (D, G)",Sociodemographics,Ethnicity,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2001_p::SDCAGRAC, cchs2003_p::SDCCGRAC, cchs2005_p::SDCEGCGT, cchs2015_2016_p::SDCDGCGT, cchs2017_2018_p::SDCDGCGT, [SDCGCGT]",,,,,
SMK_01A,intermediate,,"In lifetime, smoked 100 or more cigarettes",Health behaviour,Smoking,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::SMKA_01A, cchs2003_p::SMKC_01A, cchs2005_p::SMKE_01A, cchs2015_2016_p::SMK_020, cchs2017_2018_p::SMK_020, [SMK_01A]",,,,,
SMK_05B,intermediate,cigdayo,# of cigarettes smoked daily - occasional smoker,Health behaviour,Smoking,Continuous,cigarettes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2001_p::SMKA_05B, cchs2003_p::SMKC_05B, cchs2005_p::SMKE_05B, cchs2015_2016_p::SMK_050, cchs2017_2018_p::SMK_050, [SMK_05B]",,,,,
SMK_05C,intermediate,Number of days - smoked 1 cigarette or more (occ. smoker),"In the past month, on how many days have you smoked 1 or more cigarettes?",Health behaviour,Smoking,Continuous,days,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::SMKA_05C, cchs2003_p::SMKC_05C, cchs2005_p::SMKE_05C, cchs2015_2016_p::SMK_055, cchs2017_2018_p::SMK_055, [SMK_05C]",,,,,
SMK_09A_B,intermediate,stpd,When did you stop smoking daily - former daily,Health behaviour,Smoking,Categorical,Years,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2003_p::SMKC_09A, cchs2005_p::SMKE_09A, cchs2015_2016_p::SMK_080, cchs2017_2018_p::SMK_080, [SMK_09A]",,,,,
SMK_204,intermediate,cigdayd,# of cigarettes smoked daily - daily smoker,Health behaviour,Smoking,Continuous,cigarettes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2001_p::SMKA_204, cchs2003_p::SMKC_204, cchs2005_p::SMKE_204, cchs2015_2016_p::SMK_045, cchs2017_2018_p::SMK_045, [SMK_204]",,,,,
SMK_208,intermediate,# of cigarettes smoke each day - former daily,# of cigarettes smoked each day - former daily smoker,Health behaviour,Smoking,Continuous,cigarettes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::SMKA_208, cchs2003_p::SMKC_208, cchs2005_p::SMKE_208, [SMK_208]",,,,,
SMKDSTY_cat5,intermediate,Smoking status,"Type of smoker: daily, occasional, former daily, former occasional, never",Health behaviour,Smoking,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, cchs2015_2016_p::SMKDVSTY, cchs2017_2018_p::SMKDVSTY, [SMKDSTY]","Re-categorization of SMKDSTY to be used for smoking imputation. SMKDSTY_cat5 is a 5 category variable for smoking status for cycles up to 2018. Prior to 2015, 'occasional' and 'always occasional' are combined to form the current 'occasional' category. 2015 onwards, 'former occasional' and 'experimental' are combined to form the current 'former occasional' category",,,,
SMKG09C,intermediate,stpdy,Years since stopped smoking daily - former daily,Health behaviour,Smoking,Categorical,Years,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2003_p::SMKCG09C, cchs2005_p::SMKEG09C, cchs2015_2016_p::SMKG090, cchs2017_2018_p::SMKG090, cchs2009_s::SMK_09C, cchs2010_s::SMK_09C, cchs2012_s::SMK_09C, [SMKG09C]",,,,,
SMKG203_cont,intermediate,agecigd,Age started to smoke daily - daily smoker (G),Health behaviour,Smoking,Continuous,Years,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::SMKAG203, cchs2003_p::SMKCG203, cchs2005_p::SMKEG203, cchs2009_s::SMK_203, cchs2010_s::SMK_203, cchs2012_s::SMK_203, [SMKG203], DerivedVar::[SMK_005, SMKG040]",,,,,
SMKG207_cont,intermediate,agecigfd,Age started to smoke daily - former daily smoker,Health behaviour,Smoking,Continuous,Years,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::SMKAG207, cchs2003_p::SMKCG207, cchs2005_p::SMKEG207, cchs2009_s::SMK_207, cchs2010_s::SMK_207, cchs2012_s::SMK_207, [SMKG207], DerivedVar::[SMK_030, SMKG040]",,,,,
smoke_simple,predictor,Simple smoking status,Simple smoking status,Health behaviour,Smoking,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","DerivedVar::[SMKDSTY_cat5, time_quit_smoking]",,,,,
time_quit_smoking,intermediate,Time since quit,Time since quit smoking,Health behaviour,Smoking,Continuous,Years,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","DerivedVar::[SMK_09A_B, SMKG09C]",,,,,
WTS_M,weight,Weight,Weights,N/A,N/A,Continuous,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::WTSAM, cchs2003_p::WTSC_M, cchs2005_p::WTSE_M, [WTS_M]",,,,,
