variable,role,label,labelLong,section,subject,variableType,units,databaseStart,variableStart,description,Transformation,,,,,,,,,,
ALCDTTM_cat1,intermediate,Drinker type dummy variable: Regular,Drinker type dummy variable: Regular,Health behaviour,Alcohol,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",,,,,,,,,,,,,
ALCDTTM_cat1_C,predictor,Centered drinker type dummy variable: Regular,Centered drinker type dummy variable: Regular,Health behaviour,Alcohol,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",,,"center[ALCDTTM_cat1, mean]",,,,,,,,,,
ALCDTTM_cat2,intermediate,Drinker type dummy variable: Occasional,Drinker type dummy variable: Occasional,Health behaviour,Alcohol,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",,,,,,,,,,,,,
ALCDTTM_cat2_C,predictor,Centered drinker type dummy variable: Occasional,Centered drinker type dummy variable: Occasional,Health behaviour,Alcohol,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",,,"center[ALCDTTM_cat2, mean]",,,,,,,,,,
ALC_1,intermediate,Any alcohol- 12 months,"Past year, had any alcohol",Health behaviour,Alcohol,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_m::ALCA_1, cchs2003_m::ALCC_1, cchs2005_m::ALCE_1, cchs2015_2016_m::ALC_010, cchs2017_2018_m::ALC_010, cchs_2015_2016_i::ALC_010, cchs_2017_2018_i::ALC_010, [ALC_1]",,,,,,,,,,,,
ALC_005,Intermediate,Any alcohol- Lifetime,"Lifetime, had any alcohol",Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2015_2016_p, cchs2017_2018_p, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::ALCA_5B, cchs2003_p::ALCC_5B, cchs2005_p::ALCE_5B, cchs2007_2008_p::ALN_1, [ALC_005]",,,,,,,,,,,,
ALW_1,intermediate,Any alcohol past week,"Past week, had any alcohol",Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2014_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::ALCA_5, cchs2003_p::ALCC_5, cchs2005_p::ALCE_5, cchs2015_2016_p::ALW_005, cchs2017_2018_p::ALW_005, cchs2015_2016_i::ALW_005, cchs2017_2018_i::ALW_005, [ALW_1]",,,,,,,,,,,,
ALW_2A1,intermediate,# of drinks - Sunday,Number of drinks on Sunday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs_2014_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::ALCA_5A1, cchs2003_p::ALCC_5A1, cchs2005_p::ALCE_5A1, cchs2015_2016_p::ALW_010, cchs2017_2018_p::ALW_010, cchs2015_2016_i::ALW_010, cchs2017_2018_i::ALW_010,[ALW_2A1]",,,,,,,,,,,,
ALW_2A2,intermediate,# of drinks - Monday,Number of drinks on Monday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs_2014_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::ALCA_5A2, cchs2003_p::ALCC_5A2, cchs2005_p::ALCE_5A2, cchs2015_2016_p::ALW_015, cchs2017_2018_p::ALW_015, cchs2015_2016_i::ALW_015, cchs2017_2018_i::ALW_015, [ALW_2A2]",,,,,,,,,,,,
ALW_2A3,intermediate,# of drinks - Tuesday,Number of drinks on Tuesday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs_2014_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::ALCA_5A3, cchs2003_p::ALCC_5A3, cchs2005_p::ALCE_5A3, cchs2015_2016_p::ALW_020, cchs2017_2018_p::ALW_020, cchs2015_2016_i::ALW_020, cchs2017_2018_i::ALW_020, [ALW_2A3]",,,,,,,,,,,,
ALW_2A4,intermediate,# of drinks - Wednesday,Number of drinks on Wednesday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs_2014_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::ALCA_5A4, cchs2003_p::ALCC_5A4, cchs2005_p::ALCE_5A4, cchs2015_2016_p::ALW_025, cchs2017_2018_p::ALW_025, cchs2015_2016_i::ALW_025, cchs2017_2018_i::ALW_025,[ALW_2A4]",,,,,,,,,,,,
ALW_2A5,intermediate,# of drinks - Thursday,Number of drinks on Thursday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs_2014_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::ALCA_5A5, cchs2003_p::ALCC_5A5, cchs2005_p::ALCE_5A5, cchs2015_2016_p::ALW_030, cchs2017_2018_p::ALW_030, cchs2015_2016_i::ALW_030, cchs2017_2018_i::ALW_030,[ALW_2A5]",,,,,,,,,,,,
ALW_2A6,intermediate,# of drinks - Friday,Number of drinks on Friday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs_2014_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::ALCA_5A6, cchs2003_p::ALCC_5A6, cchs2005_p::ALCE_5A6, cchs2015_2016_p::ALW_035, cchs2017_2018_p::ALW_035, cchs2015_2016_i::ALW_035, cchs2017_2018_i::ALW_035, [ALW_2A6]",,,,,,,,,,,,
ALW_2A7,intermediate,# of drinks - Saturday,Number of drinks on Saturday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs_2014_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::ALCA_5A7, cchs2003_p::ALCC_5A7, cchs2005_p::ALCE_5A7, cchs2015_2016_p::ALW_040, cchs2017_2018_p::ALW_040, cchs2015_2016_i::ALW_040, cchs2017_2018_i::ALW_040[ALW_2A7]",,,,,,,,,,,,
binge_drinker,intermediate,Binge Drinker,Binge Drinker,Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs_2014_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","DerivedVar::[DHH_SEX, ALW_1, ALW_2A1, ALW_2A2, ALW_2A3, ALW_2A4, ALW_2A5, ALW_2A6, ALW_2A7]",,,,,,,,,,,,
ALWDVLTR_der,"intermediate, imputation-variable",long term drinking risk,Low drinking - Increased long term risks due to drinking,Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s, cchs_2014_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","DerivedVar::[DHH_SEX, ALWDWKY, ALC_1, ALW_1, ALW_2A1, ALW_2A2, ALW_2A3, ALW_2A4, ALW_2A5, ALW_2A6, ALW_2A7]",Risk based on Canada's Low Risk Alcohol Drinking Guidelines. Refer to https://osf.io/ykau5/ .,,,,,,,,,,,
ALWDVLTR_der_cat1,intermediate,Dummy long term drinking risk variable: Yes,Dummy long term drinking risk variable: Yes,Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s, cchs_2014_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[ALWDLVTR},,"dummy[1,2]",,,,,,,,,,
ALWDVLTR_der_cat1_C,predictor,Centered dummy long term drinking risk: Yes,Centered dummy long term drinking risk: Yes,Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s, cchs_2014_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[ALWDLVTR_cat1},,"center[ALWDVLTR_cat1, mean]",,,,,,,,,,
ALWDVSTR_der,"intermediate, imputation-variable",Short term drinking risk,Low drinking - Increased short term risks due to drinking,Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s, cchs_2014_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","DerivedVar::[DHH_SEX, ALWDWKY, ALC_1, ALW_1, ALW_2A1, ALW_2A2, ALW_2A3, ALW_2A4, ALW_2A5, ALW_2A6, ALW_2A7]",Risk based on Canada's Low Risk Alcohol Drinking Guidelines. Refer to https://osf.io/ykau5/ .,,,,,,,,,,,
ALWDVSTR_der_cat1,intermediate,Dummy short term drinking risk variable: Yes,Dummy short term drinking risk variable: Yes,Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s, cchs_2014_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[ALWDVSTR},,"dummy[1,2]",,,,,,,,,,
ALWDVSTR_der_cat1_C,predictor,Centered dummy short term drinking risk: Yes,Centered dummy short term drinking risk: Yes,Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s, cchs_2014_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[ALWDVSTR_car1},,"center[ALWDVSTR_cat1, mean]",,,,,,,,,,
ALWDWKY,intermediate,Drinks last week,Weekly consumption of alcohol,Health behaviour,Alcohol,Continuous,drinks/week,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s, cchs_2014_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::ALCADWKY, cchs2003_p::ALCCDWKY, cchs2005_p::ALCEDWKY, cchs2015_2016_p::ALWDVWKY, cchs2017_2018_p::ALWDVWKY, cchs2015_2016_i::ALWDVWKY, cchs2017_2018_i::ALWDVWKY, [ALWDWKY]",,,,,,,,,,,,
CCC_031,"intermediate, imputation-variable",Asthma,Do you have asthma?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::CCCA_031, cchs2003_p::CCCC_031, cchs2005_p::CCCE_031, cchs2015_2016_p::CCC_015, cchs2017_2018_p::CCC_015, cchs2015_2016_i::CCC_015, cchs2017_2018_i::CCC_015,[CCC_031]",,,,,,,,,,,,
CCC_031_cat1,intermediate,Dummy asthma variable: Yes,Dummy asthma variable: Yes,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[CCC_031],,"dummy[1,2]",,,,,,,,,,
CCC_031_cat1_c,predictor,Centered dummy asthma variable: Yes,Centered dummy asthma variable: Yes,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[CCC_031_cat1],,"center[CCC_031_cat1, mean]",,,,,,,,,,
CCC_051,imputation-variable,Arthritis/Rheumatism,Do you have arthritis or rheumatism?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::CCCA_051, cchs2003_p::CCCC_051, cchs2005_p::CCCE_051, cchs2015_2016_p::CCC_050, cchs2017_2018_p::CCC_050, cchs2015_2016_i::CCC_050, cchs2017_2018_i::CCC_050,[CCC_051]",,,,,,,,,,,,
CCC_061,"intermediate, imputation-variable",Back Problems,Do you have back problems?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::CCCA_061, cchs2003_p::CCCC_061, cchs2005_p::CCCE_061, cchs2015_2016_p::CCC_055, cchs2017_2018_p::CCC_055, cchs2015_2016_i::CCC_055, cchs2017_2018_i::CCC_055, [CCC_061]",,,,,,,,,,,,
CCC_061_cat1,intermediate,Dummy back problems variable: Yes,Dummy back problems variable: Yes,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[CCC_061],,"dummy[1,2]",,,,,,,,,,
CCC_061_cat1_c,predictor,Centered dummy back problems variable: Yes,Centered dummy back problems variable: Yes,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[CCC_061_cat1],,"center[CCC_061_cat1, mean]",,,,,,,,,,
CCC_071,"intermediate, imputation-variable",Hypertension,Do you have high blood pressure?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::CCCA_071, cchs2003_p::CCCC_071, cchs2005_p::CCCE_071, cchs2015_2016_p::CCC_065, cchs2017_2018_p::CCC_065,cchs2015_2016_i::CCC_065, cchs2017_2018_i::CCC_065, [CCC_071]",,,,,,,,,,,,
CCC_071_cat1,intermediate,Dummy hypertension variable: Yes,Dummy hypertension variable: Yes,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[CCC_071],,"dummy[1,2]",,,,,,,,,,
CCC_071_cat1_c,predictor,Centered dummy hypertension variable: Yes,Centered dummy hypertension variable: Yes,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[CCC_071_cat1],,"center[CCC_071_cat1, mean]",,,,,,,,,,
CCC_091,"intermediate, imputation-variable",COPD/Emphysema/Bronchitis,"Do you have COPD (eg bronchitis, emphysema)?",Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::CCCA_91B, cchs2003_p::CCCC_91B, cchs2015_2016_p::CCC_030, cchs2017_2018_p::CCC_030,cchs2015_2016_i::CCC_030, cchs2017_2018_i::CCC_030, [CCC_091]",,,,,,,,,,,,
CCC_091_cat1,intermediate,Dummy COPD/Emphysema/Bronchitis variable: Yes,Dummy COPD/Emphysema/Bronchitis variable: Yes,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[CCC_091],,"dummy[1,2]",,,,,,,,,,
CCC_091_cat1_c,predictor,Centered dummy COPD/Emphysema/Bronchitis variable: Yes,Centered dummy COPD/Emphysema/Bronchitis variable: Yes,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[CCC_091_cat1],,"center[CCC_091_cat1, mean]",,,,,,,,,,
CCC_101,imputation-variable,Diabetes,Do you have diabetes?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::CCCA_101, cchs2003_p::CCCC_101, cchs2005_p::CCCE_101, cchs2015_2016_p::CCC_095, cchs2017_2018_p::CCC_095, cchs2015_2016_i::CCC_095, cchs2017_2018_i::CCC_095, [CCC_101]",,,,,,,,,,,,
CCC_121,"intermediate, imputation-variable",Heart Disease,Do you have heart disease?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::CCCA_121, cchs2003_p::CCCC_121, cchs2005_p::CCCE_121, cchs2015_2016_p::CCC_085, cchs2017_2018_p::CCC_085, cchs2015_2016_i::CCC_085, cchs2017_2018_i::CCC_085, [CCC_121]",,,,,,,,,,,,
CCC_121_cat1,intermediate,Dummy Heart Disease variable: Yes,Dummy Heart Disease variable: Yes,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[CCC_121],,"dummy[1,2]",,,,,,,,,,
CCC_121_cat1_c,predictor,Centered dummy heart disease variable: Yes,Centered dummy heart disease variable: Yes,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i",DerivedVar::[CCC_121_cat1],,"center[CCC_121_cat1, mean]",,,,,,,,,,
